number,name,earnings,gold,silver,bronze,s-tier
1,Faker,1498711.00,18,9,3,16
2,Duke,1151427.00,10,2,5,8
3,Bang,1057318.00,9,5,2,9
4,Wolf,1053271.00,9,7,1,9
5,Bengi,926920.00,9,1,3,8
6,JackeyLove,841011.00,9,3,2,5
7,Rookie,735323.00,7,4,6,4
8,CoreJJ,716738.00,8,7,2,3
9,Ning,696766.00,5,3,4,3
10,Baolan,684271.00,6,3,4,3
11,TheShy,682222.00,5,3,3,3
12,Xiaohu,680083.00,12,4,0,8
13,Ruler,664007.00,6,6,3,1
14,Blank,655613.00,5,5,2,5
15,Karsa,624814.00,13,4,1,10
16,Ambition,596773.00,8,6,3,2
17,Uzi,595528.00,8,6,1,4
18,Mata,585456.00,9,6,5,7
19,Perkz,583204.00,13,6,3,12
20,Caps,562862.00,11,3,4,9
21,CuVee,562064.00,5,3,1,1
22,Crown,554863.00,5,3,2,1
23,Meiko,548639.00,13,3,3,8
24,Impact,539675.00,11,5,4,8
25,Peanut,531539.00,5,12,1,4
26,Mlxg,510811.00,9,3,0,6
27,Ming,506509.00,11,3,0,6
28,Clearlove,485773.00,11,3,2,9
29,Scout,476082.00,9,2,3,7
30,Rekkles,475412.00,9,11,6,5
31,Jankos,475177.00,8,3,4,7
32,PawN,448344.00,8,4,5,5
33,sOAZ,446848.00,12,11,2,6
34,Khan,444323.00,8,7,1,7
35,Deft,442594.00,8,9,5,6
36,Letme,428568.00,7,2,0,5
37,Doinb,401782.00,3,8,5,3
38,Wunder,401741.00,10,3,1,7
39,Haru,397728.00,4,0,1,2
40,PraY,394085.00,5,8,1,4
41,Hylissang,389692.00,6,11,3,4
42,Huni,380708.00,5,5,5,4
43,Jensen,376739.00,9,7,1,3
44,Looper,357390.00,3,2,2,2
45,GorillA,356840.00,4,10,1,3
46,Crisp,354755.00,2,4,2,2
46,Lwx,354755.00,2,4,2,2
48,Broxah,353940.00,6,3,4,4
49,Bwipo,351055.00,5,5,1,4
50,Tian,348885.00,2,5,2,2
51,ShowMaker,347609.00,8,2,1,5
52,Canyon,344963.00,7,2,1,5
53,BeryL,337477.00,8,2,1,5
54,SwordArT,333989.00,9,3,6,6
55,Doublelift,333438.00,10,9,2,9
56,Imp,329670.00,4,4,5,3
57,Smeb,312308.00,4,7,3,2
58,Ghost,307025.00,5,2,1,4
59,Sneaky,303345.00,10,7,0,3
60,Mikyx,295496.00,7,2,1,6
61,Zven,295293.00,8,11,2,5
62,Kuro,292392.00,2,6,3,1
63,Easyhoon,292021.00,4,1,0,3
64,Xmithie,283599.00,6,6,2,6
65,Svenskeren,280214.00,5,6,2,4
66,Bdd,273033.00,3,6,2,2
67,DanDy,271874.00,3,2,3,2
68,MaRin,264796.00,3,1,1,3
69,Nuguri,262341.00,5,2,1,3
70,Piglet,261128.00,4,1,4,3
71,Maple,259725.00,10,2,4,6
72,Viper,257895.00,5,3,2,3
73,PoohManDu,252967.00,4,0,2,3
74,GimGoon,252048.00,2,1,3,2
75,Clid,250619.00,5,2,4,3
76,Bjergsen,246259.00,9,9,1,7
77,Mouse,245036.00,5,2,2,5
78,mithy,243179.00,8,11,1,4
79,knight,220609.00,3,5,1,2
80,Zero,218370.00,2,2,1,2
81,Flandre,218145.00,2,1,2,2
82,BeBe,216657.00,1,2,3,1
83,xiye,216064.00,5,3,1,2
84,369,214594.00,3,4,1,2
85,Cuzz,210305.00,4,5,1,4
86,LokeN,207782.00,4,5,4,1
87,Mystic,204301.00,4,2,2,2
88,Toyz,202560.00,1,2,1,1
89,MiSTakE,202160.00,1,1,1,1
89,Lilballz,202160.00,1,1,1,1
89,Stanley,202160.00,1,1,1,1
92,Rascal,197956.00,3,5,3,2
93,Score,196131.00,5,9,5,2
94,Korol,194554.00,4,2,3,4
95,Betty,194014.00,7,0,4,6
96,Ben,193705.00,3,2,2,1
97,Blaber,193038.00,5,3,1,2
98,Jiejie,191196.00,2,1,3,2
99,iBoy,190136.00,5,1,1,2
100,Yagao,188058.00,2,3,4,1
100,LvMao,188058.00,2,3,4,1
100,Zoom,188058.00,2,3,4,1
103,Ryu,185402.00,3,3,6,2
104,Condi,184048.00,3,1,1,2
105,Trick,182178.00,4,3,2,4
106,YellOwStaR,181049.00,7,8,2,5
107,Zz1tai,177179.00,5,3,3,3
108,Wraith,176649.00,0,1,1,0
109,WildTurtle,175508.00,5,7,3,4
110,yuyanjia,174422.00,3,1,1,2
111,Odoamne,172452.00,6,2,8,1
112,Spirit,166570.00,2,5,5,1
113,Expect,166311.00,5,3,0,3
114,Ssumday,163571.00,5,5,1,2
115,Teddy,162007.00,4,1,0,4
116,Chovy,159439.00,3,5,3,1
117,Hjarnan,155680.00,10,9,7,1
118,xPeke,153709.00,10,7,1,4
119,Licorice,153113.00,2,5,0,1
