gameID,Reg,Role,earnings,gold,silver,bronze,s-tier
Bo,China,Jungle,30670.0,0,1,0,0
Finn,Europe,Top,28967.0,1,2,3,0
Winston,North America,Jungle,6340.0,4,3,2,0
Zeus,Korea,Top,4811.0,1,1,0,0
Revenge,North America,Top,160.0,0,1,0,0
Canyon,Korea,Jungle,344963.0,7,2,1,5
Gori,Korea,Mid,22679.0,2,0,1,1
Mark,China,Support,37399.0,2,1,0,0
Chieftain,Korea,Jungle,6874.0,0,1,0,0
AHaHaCiK,Russia,Jungle,56907.0,8,1,0,0
Gumayusi,Korea,ADC,59851.0,3,2,0,0
Becca,Korea,Support,1753.0,2,0,0,0
SLT,Europe,Top,10331.0,1,2,3,0
Szygenda,Europe,Top,19179.0,4,3,1,0
Neon,Europe,ADC,45166.0,3,4,0,0
Eyla,North America,Support,6000.0,3,3,1,0
Kabbie,Korea,Support,12869.0,1,0,0,0
Taeyoon,Korea,ADC,910.0,1,0,0,0
Ucal,Korea,Mid,87281.0,1,1,1,1
Rebel,Korea,Support,3257.0,1,0,0,0
Kellin,Korea,Support,28728.0,0,2,2,0
Cryin,China,Mid,102559.0,4,0,0,2
Dhokla,North America,Top,7275.0,3,2,2,0
Agurin,Europe,Jungle,22077.0,6,2,1,0
ShowMaker,Korea,Mid,347609.0,8,2,1,5
Sertuss,Europe,Mid,34263.0,4,3,2,0
Johnsun,North America,ADC,1600.0,0,0,0,0
Kingen,Korea,Top,23910.0,1,0,0,1
Tutsz,Brazil,Mid,4761.0,1,0,0,0
Allorim,North America,Top,2378.0,0,2,1,0
Armao,North America,Jungle,62000.0,3,4,1,0
Targamas,Europe,Support,49212.0,13,4,5,0
Supa,Europe,ADC,2383.0,0,2,0,0
SMILEY,Europe,ADC,23886.0,3,6,4,0
Shernfire,North America,Jungle,35936.0,5,2,1,1
Razork,Europe,Jungle,13702.0,1,6,0,0
BAO,Korea,ADC,1753.0,2,0,0,0
Hyoga,Brazil,Jungle,3384.0,1,0,1,0
Send0o,Europe,Top,32775.0,8,11,2,1
Froggen,Europe,Mid,84313.0,4,1,2,1
Insanity,North America,Mid,1600.0,0,0,0,0
Zzus,Korea,Support,10621.0,2,0,1,1
JayJ,North America,Support,11300.0,2,0,0,0
Doinb,China,Mid,401782.0,3,8,5,3
Saken,Europe,Mid,52296.0,7,7,3,0
Deft,Korea,ADC,442594.0,8,9,5,6
Ferret,Turkey,Jungle,1000.0,2,1,0,0
Destiny,North America,Support,23836.0,5,3,1,1
MagiFelix,Europe,Mid,29654.0,13,5,1,1
Jett,Korea,Mid,13801.0,2,0,0,0
Yeon,North America,ADC,10270.0,5,3,1,0
Decky,Korea,Top,357.0,0,1,0,0
113,Europe,Top,1878.0,2,0,0,0
Keduii,Europe,ADC,31231.0,4,6,2,0
Decay,Europe,Mid,3614.0,1,2,2,0
Doublelift,North America,ADC,333438.0,10,9,2,9
Oscarinin,Europe,Top,3736.0,0,2,0,0
Philip,North America,Top,1140.0,0,0,0,0
Bdd,Korea,Mid,273033.0,3,6,2,2
Jenax,Europe,Top,18816.0,1,5,2,0
Hena,Korea,ADC,3186.0,0,0,0,0
Kiin,Korea,Top,90451.0,1,3,2,0
Berserker,North America,ADC,7128.0,3,1,0,0
Ablazeolive,North America,Mid,2800.0,1,0,1,0
Hoya,Korea,Top,2850.0,0,0,0,0
Ruler,Korea,ADC,664007.0,6,6,3,1
HyBriD,Korea,ADC,6472.0,0,0,1,0
Busio,North America,Support,1180.0,0,0,1,0
Delight,Korea,Support,903.0,1,0,0,0
XLB,China,Jungle,36014.0,2,2,0,0
